		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
26/06/12	11:50 p	22.6	22.7	22.5	54	12.8	1.8	ESE	1.07	5.8	ESE	22.6	22.5	22.5	20.9	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.030	26.8	40	12.1	26.3	0.00	228	1	100.0	10
27/06/12	12:00 a	22.4	22.5	22.4	52	12.1	0.9	S	0.54	3.6	SE	22.4	22.1	22.1	20.5	839.0	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.029	26.8	40	12.0	26.2	0.03	228	1	100.0	10
27/06/12	12:10 a	22.4	22.4	22.3	57	13.5	0.0	SSW	0.00	1.3	WSW	22.4	22.3	22.3	20.8	839.0	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.028	26.7	40	12.0	26.2	0.00	227	1	99.6	10
27/06/12	12:20 a	21.9	22.2	21.7	59	13.6	0.0	SW	0.00	0.9	WSW	21.9	21.7	21.7	20.2	839.0	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.025	26.6	41	12.3	26.1	0.00	228	1	100.0	10
27/06/12	12:30 a	21.6	21.7	21.6	57	12.7	0.0	SSW	0.00	1.3	SW	21.6	21.2	21.2	19.6	838.9	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.023	26.6	41	12.3	26.1	0.00	228	1	100.0	10
27/06/12	12:40 a	21.6	21.6	21.6	56	12.4	0.0	---	0.00	0.0	---	21.6	21.0	21.0	19.4	838.9	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.022	26.5	41	12.2	26.1	0.00	228	1	100.0	10
27/06/12	12:50 a	21.6	21.7	21.6	54	11.9	0.0	SSW	0.00	0.9	SSW	21.6	21.0	21.0	19.4	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.023	26.4	41	12.1	26.0	0.00	228	1	100.0	10
27/06/12	1:00 a	21.7	21.7	21.6	52	11.4	0.4	S	0.27	2.2	S	21.7	21.1	21.1	19.4	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.024	26.4	41	12.1	25.9	0.00	228	1	100.0	10
27/06/12	1:10 a	21.7	21.7	21.6	52	11.4	0.0	SSW	0.00	1.3	S	21.7	21.1	21.1	19.4	838.8	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.024	26.3	40	11.6	25.8	0.00	228	1	100.0	10
27/06/12	1:20 a	21.7	21.7	21.6	52	11.4	0.0	SW	0.00	0.9	SSW	21.7	21.0	21.0	19.4	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.023	26.2	40	11.6	25.8	0.00	228	1	100.0	10
